iter,primal_residual,dual_residual,objective
1,412.8404131918825,419.1204132539035,
2,425.40041331665174,0.0,
3,425.4004133166523,0.0,
4,425.4004133166526,0.0,
5,425.40041331665276,0.0,
6,425.4004133166529,0.0,
7,425.40041331665293,0.0,
8,425.400413316653,0.0,
9,425.40041331665304,0.0,
10,425.4004133166531,0.0,
11,425.4004133166531,0.0,
12,425.40041331665316,0.0,
13,425.40041331665316,0.0,
14,425.40041331665316,0.0,
15,425.40041331665316,0.0,
16,425.4004133166532,0.0,
17,425.4004133166532,0.0,
18,425.4004133166532,0.0,
19,425.4004133166532,0.0,
20,425.4004133166532,0.0,
21,425.4004133166532,0.0,
22,425.40041331665327,0.0,
23,425.40041331665327,0.0,
24,425.40041331665327,0.0,
25,425.40041331665327,0.0,
26,425.40041331665327,0.0,
27,425.40041331665327,0.0,
28,425.40041331665327,0.0,
29,425.40041331665327,0.0,
30,425.40041331665327,0.0,
31,425.40041331665327,0.0,
32,425.40041331665327,0.0,
33,425.40041331665327,0.0,
34,425.40041331665327,0.0,
35,425.4004133166533,0.0,
36,425.4004133166533,0.0,
37,425.4004133166533,0.0,
38,425.4004133166533,0.0,
39,425.4004133166533,0.0,
40,425.4004133166533,0.0,
41,425.4004133166533,0.0,
42,425.4004133166533,0.0,
43,425.4004133166533,0.0,
44,425.4004133166533,0.0,
45,425.4004133166533,0.0,
46,425.4004133166533,0.0,
47,425.4004133166533,0.0,
48,425.4004133166533,0.0,
49,425.4004133166533,0.0,
50,425.4004133166533,0.0,
51,425.4004133166533,0.0,
52,425.4004133166533,0.0,
53,425.4004133166533,0.0,
54,425.4004133166533,0.0,
55,425.4004133166533,0.0,
56,425.4004133166533,0.0,
57,425.4004133166533,0.0,
58,425.4004133166533,0.0,
59,425.4004133166533,0.0,
60,425.4004133166533,0.0,
61,425.4004133166533,0.0,
62,425.4004133166533,0.0,
63,425.4004133166533,0.0,
64,425.4004133166533,0.0,
65,425.4004133166533,0.0,
66,425.4004133166533,0.0,
67,425.4004133166533,0.0,
68,425.4004133166533,0.0,
69,425.4004133166533,0.0,
70,425.4004133166533,0.0,
71,425.4004133166533,0.0,
72,425.4004133166533,0.0,
73,425.4004133166533,0.0,
74,425.4004133166533,0.0,
75,425.4004133166533,0.0,
76,425.4004133166533,0.0,
77,425.4004133166533,0.0,
78,425.4004133166533,0.0,
79,425.4004133166533,0.0,
80,425.4004133166533,0.0,
81,425.4004133166533,0.0,
82,425.4004133166533,0.0,
83,425.4004133166533,0.0,
84,425.4004133166533,0.0,
85,425.4004133166533,0.0,
86,425.4004133166533,0.0,
87,425.4004133166533,0.0,
88,425.4004133166533,0.0,
89,425.4004133166533,0.0,
90,425.4004133166533,0.0,
91,425.4004133166533,0.0,
92,425.4004133166533,0.0,
93,425.4004133166534,0.0,
94,425.4004133166534,0.0,
95,425.4004133166534,0.0,
96,425.4004133166534,0.0,
97,425.4004133166534,0.0,
98,425.4004133166534,0.0,
99,425.4004133166534,0.0,
100,425.4004133166534,0.0,
