step,bus,p_target,p_tso,residual,p_request,v_min,v_max,voltage_violation,soc
0,1,30.348052141123333,-8.518761650763835,-38.86681379188717,448.1960370809427,0.8757625667599244,1.03,3.0,0.7098968042303195
0,3,30.348052141123333,-4.498906269417147,-34.84695841054048,448.1960370809427,0.8757625667599244,1.03,3.0,0.37490885578476224
0,5,30.348052141123333,-7.343313358912246,-37.69136550003558,448.1960370809427,0.8757625667599244,1.03,3.0,0.6119427799093538
1,1,30.345045021030845,-8.518761650763738,-38.863806671794585,404.0711597605068,0.8757712483339544,1.03,3.0,1.419793608460631
1,3,30.345045021030845,-4.4989062694170725,-34.84395129044792,404.0711597605068,0.8757712483339544,1.03,3.0,0.7498177115695183
1,5,30.345045021030845,-7.343313358912164,-37.68835837994301,404.0711597605068,0.8757712483339544,1.03,3.0,1.2238855598187008
2,1,30.34503738848124,-8.518761650763738,-38.86379903924498,454.9853417869895,0.8757752778639192,1.03,3.0,2.1296904126909424
2,3,30.34503738848124,-4.4989062694170725,-34.843943657898315,454.9853417869895,0.8757752778639192,1.03,3.0,1.1247265673542743
2,5,30.34503738848124,-7.343313358912164,-37.68835074739341,454.9853417869895,0.8757752778639192,1.03,3.0,1.8358283397280477
3,1,30.345023404907725,-8.518761650763738,-38.863785055671464,457.72785022887183,0.8757826607138681,1.03,3.0,2.8395872169212537
3,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,457.72785022887183,0.8757826607138681,1.03,3.0,1.4996354231390303
3,5,30.345023404907725,-7.343313358912164,-37.68833676381989,457.72785022887183,0.8757826607138681,1.03,3.0,2.4477711196373946
4,1,30.345023404907725,-8.518761650763738,-38.863785055671464,367.6744017290164,0.8757826607138681,1.03,3.0,3.549484021151565
4,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,367.6744017290164,0.8757826607138681,1.03,3.0,1.8745442789237863
4,5,30.345023404907725,-7.343313358912164,-37.68833676381989,367.6744017290164,0.8757826607138681,1.03,3.0,3.0597138995467414
5,1,30.345023404907725,-8.518761650763738,-38.863785055671464,383.48843544507395,0.8757826607138681,1.03,3.0,4.259380825381877
5,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,383.48843544507395,0.8757826607138681,1.03,3.0,2.2494531347085425
5,5,30.345023404907725,-7.343313358912164,-37.68833676381989,383.48843544507395,0.8757826607138681,1.03,3.0,3.6716566794560883
6,1,30.345023404907725,-8.518761650763738,-38.863785055671464,423.3879591404932,0.8757826607138681,1.03,3.0,4.969277629612188
6,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,423.3879591404932,0.8757826607138681,1.03,3.0,2.6243619904932984
6,5,30.345023404907725,-7.343313358912164,-37.68833676381989,423.3879591404932,0.8757826607138681,1.03,3.0,4.283599459365435
7,1,30.345023404907725,-8.518761650763738,-38.863785055671464,406.8335830199602,0.8757826607138681,1.03,3.0,5.679174433842499
7,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,406.8335830199602,0.8757826607138681,1.03,3.0,2.9992708462780544
7,5,30.345023404907725,-7.343313358912164,-37.68833676381989,406.8335830199602,0.8757826607138681,1.03,3.0,4.895542239274782
8,1,30.345023404907725,-8.518761650763738,-38.863785055671464,412.7761116805642,0.8757826607138681,1.03,3.0,6.389071238072811
8,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,412.7761116805642,0.8757826607138681,1.03,3.0,3.3741797020628104
8,5,30.345023404907725,-7.343313358912164,-37.68833676381989,412.7761116805642,0.8757826607138681,1.03,3.0,5.507485019184129
9,1,30.345023404907725,-8.518761650763738,-38.863785055671464,384.4078476950129,0.8757826607138681,1.03,3.0,7.098968042303122
9,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,384.4078476950129,0.8757826607138681,1.03,3.0,3.7490885578475663
9,5,30.345023404907725,-7.343313358912164,-37.68833676381989,384.4078476950129,0.8757826607138681,1.03,3.0,6.119427799093476
10,1,30.345023404907725,-8.518761650763738,-38.863785055671464,432.84599347855004,0.8757826607138681,1.03,3.0,7.808864846533433
10,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,432.84599347855004,0.8757826607138681,1.03,3.0,4.123997413632322
10,5,30.345023404907725,-7.343313358912164,-37.68833676381989,432.84599347855004,0.8757826607138681,1.03,3.0,6.731370579002823
11,1,30.345023404907725,-8.518761650763738,-38.863785055671464,427.03855364686734,0.8757826607138681,1.03,3.0,8.518761650763745
11,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,427.03855364686734,0.8757826607138681,1.03,3.0,4.498906269417079
11,5,30.345023404907725,-7.343313358912164,-37.68833676381989,427.03855364686734,0.8757826607138681,1.03,3.0,7.3433133589121695
12,1,30.345023404907725,-8.518761650763738,-38.863785055671464,401.850988481895,0.8757826607138681,1.03,3.0,9.228658454994056
12,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,401.850988481895,0.8757826607138681,1.03,3.0,4.873815125201835
12,5,30.345023404907725,-7.343313358912164,-37.68833676381989,401.850988481895,0.8757826607138681,1.03,3.0,7.955256138821516
13,1,30.345023404907725,-8.518761650763738,-38.863785055671464,430.85435337159674,0.8757826607138681,1.03,3.0,9.938555259224367
13,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,430.85435337159674,0.8757826607138681,1.03,3.0,5.2487239809865915
13,5,30.345023404907725,-7.343313358912164,-37.68833676381989,430.85435337159674,0.8757826607138681,1.03,3.0,8.567198918730863
14,1,30.345023404907725,-8.518761650763738,-38.863785055671464,407.6993694156428,0.8757826607138681,1.03,3.0,10.648452063454679
14,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,407.6993694156428,0.8757826607138681,1.03,3.0,5.623632836771348
14,5,30.345023404907725,-7.343313358912164,-37.68833676381989,407.6993694156428,0.8757826607138681,1.03,3.0,9.17914169864021
15,1,30.345023404907725,-8.518761650763738,-38.863785055671464,364.70336833081285,0.8757826607138681,1.03,3.0,11.35834886768499
15,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,364.70336833081285,0.8757826607138681,1.03,3.0,5.998541692556104
15,5,30.345023404907725,-7.343313358912164,-37.68833676381989,364.70336833081285,0.8757826607138681,1.03,3.0,9.791084478549557
16,1,30.345023404907725,-8.518761650763738,-38.863785055671464,398.3545282719568,0.8757826607138681,1.03,3.0,12.068245671915301
16,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,398.3545282719568,0.8757826607138681,1.03,3.0,6.373450548340861
16,5,30.345023404907725,-7.343313358912164,-37.68833676381989,398.3545282719568,0.8757826607138681,1.03,3.0,10.403027258458904
17,1,30.345023404907725,-8.518761650763738,-38.863785055671464,355.1507570991395,0.8757826607138681,1.03,3.0,12.778142476145613
17,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,355.1507570991395,0.8757826607138681,1.03,3.0,6.748359404125617
17,5,30.345023404907725,-7.343313358912164,-37.68833676381989,355.1507570991395,0.8757826607138681,1.03,3.0,11.01497003836825
18,1,30.345023404907725,-8.518761650763738,-38.863785055671464,407.1133885290322,0.8757826607138681,1.03,3.0,13.488039280375924
18,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,407.1133885290322,0.8757826607138681,1.03,3.0,7.123268259910374
18,5,30.345023404907725,-7.343313358912164,-37.68833676381989,407.1133885290322,0.8757826607138681,1.03,3.0,11.626912818277598
19,1,30.345023404907725,-8.518761650763738,-38.863785055671464,376.48995059657886,0.8757826607138681,1.03,3.0,14.197936084606235
19,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,376.48995059657886,0.8757826607138681,1.03,3.0,7.49817711569513
19,5,30.345023404907725,-7.343313358912164,-37.68833676381989,376.48995059657886,0.8757826607138681,1.03,3.0,12.238855598186944
20,1,30.345023404907725,-8.518761650763738,-38.863785055671464,369.08508669478084,0.8757826607138681,1.03,3.0,14.907832888836547
20,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,369.08508669478084,0.8757826607138681,1.03,3.0,7.873085971479886
20,5,30.345023404907725,-7.343313358912164,-37.68833676381989,369.08508669478084,0.8757826607138681,1.03,3.0,12.850798378096291
21,1,30.345023404907725,-8.518761650763738,-38.863785055671464,351.31219142738655,0.8757826607138681,1.03,3.0,15.617729693066858
21,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,351.31219142738655,0.8757826607138681,1.03,3.0,8.247994827264643
21,5,30.345023404907725,-7.343313358912164,-37.68833676381989,351.31219142738655,0.8757826607138681,1.03,3.0,13.462741158005638
22,1,30.345023404907725,-8.518761650763738,-38.863785055671464,405.39620874225835,0.8757826607138681,1.03,3.0,16.32762649729717
22,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,405.39620874225835,0.8757826607138681,1.03,3.0,8.6229036830494
22,5,30.345023404907725,-7.343313358912164,-37.68833676381989,405.39620874225835,0.8757826607138681,1.03,3.0,14.074683937914985
23,1,30.345023404907725,-8.518761650763738,-38.863785055671464,360.49384752342064,0.8757826607138681,1.03,3.0,17.037523301527482
23,3,30.345023404907725,-4.4989062694170725,-34.8439296743248,360.49384752342064,0.8757826607138681,1.03,3.0,8.997812538834156
23,5,30.345023404907725,-7.343313358912164,-37.68833676381989,360.49384752342064,0.8757826607138681,1.03,3.0,14.686626717824332
